client_id,gender,purchase_datetime,purchase_time_as_seconds_from_midnight,product_id,quantity,price_per_item,discount_per_item,total_price,date
598618,F,2026-07-13,79854,30832,6,47584,41243,38046,2026-07-13
81988,F,2026-07-13,71427,43249,1,99447,79330,20117,2026-07-13
507747,F,2026-07-13,27279,42436,73,49173,43812,391353,2026-07-13
981823,F,2026-07-13,65726,35429,11,43020,30274,140206,2026-07-13
848355,M,2026-07-13,24207,44279,47,29345,14832,682111,2026-07-13
733697,F,2026-07-13,27077,33626,14,46766,14284,454748,2026-07-13
73146,M,2026-07-13,66318,1242,32,4653,2749,60928,2026-07-13
23458,M,2026-07-13,72711,1905,10,99780,77526,222540,2026-07-13
747285,M,2026-07-13,59016,32324,15,7933,3262,70065,2026-07-13
896705,M,2026-07-13,46703,33317,45,4279,1251,136260,2026-07-13
698568,M,2026-07-13,46273,14995,49,713,434,13671,2026-07-13
389192,M,2026-07-13,11499,21474,23,75552,39566,827678,2026-07-13
966521,M,2026-07-13,31530,2869,22,26839,13389,295900,2026-07-13
461143,M,2026-07-13,28991,28152,31,38384,35299,95635,2026-07-13
557876,F,2026-07-13,7929,3450,58,19463,3949,899812,2026-07-13
465136,F,2026-07-13,7341,713,2,12579,8314,8530,2026-07-13
963593,F,2026-07-13,35307,38717,37,64210,10153,2000109,2026-07-13
6471,M,2026-07-13,54335,12660,8,72843,9458,507080,2026-07-13
271606,M,2026-07-13,83796,46753,16,87329,75133,195136,2026-07-13
230909,F,2026-07-13,33516,11187,72,93069,77303,1135152,2026-07-13
700217,F,2026-07-13,61058,37077,38,66270,35582,1166144,2026-07-13
62601,M,2026-07-13,16739,47577,64,71740,30735,2624320,2026-07-13
774572,M,2026-07-13,57800,24685,32,55168,43338,378560,2026-07-13
215496,M,2026-07-13,57101,11920,57,38537,9413,1660068,2026-07-13
946345,M,2026-07-13,31589,21369,22,63499,53925,210628,2026-07-13
519113,M,2026-07-13,34874,42261,14,46755,23912,319802,2026-07-13
492662,M,2026-07-13,59327,38579,28,39106,14199,697396,2026-07-13
12823,M,2026-07-13,57965,47486,17,62494,10032,891854,2026-07-13
648277,F,2026-07-13,47446,27014,51,35639,23165,636174,2026-07-13
662218,M,2026-07-13,66052,10229,30,56229,39756,494190,2026-07-13
436325,M,2026-07-13,35883,21512,21,26494,15213,236901,2026-07-13
166097,M,2026-07-13,30655,38010,56,29658,24676,278992,2026-07-13
293855,F,2026-07-13,6287,23290,25,56099,14130,1049225,2026-07-13
959632,M,2026-07-13,48348,24569,25,10021,5485,113400,2026-07-13
764174,M,2026-07-13,26394,41911,51,17736,683,869703,2026-07-13
774055,M,2026-07-13,17394,31657,5,39892,16852,115200,2026-07-13
659294,M,2026-07-13,40948,44429,31,15382,10390,154752,2026-07-13
475646,F,2026-07-13,79814,33195,58,20200,13410,393820,2026-07-13
205327,M,2026-07-13,67808,47673,22,50569,13699,811140,2026-07-13
972283,M,2026-07-13,46156,17885,30,98777,60140,1159110,2026-07-13
53178,F,2026-07-13,48711,48396,49,89542,16612,3573570,2026-07-13
452915,F,2026-07-13,79791,14283,31,78235,22776,1719229,2026-07-13
230235,M,2026-07-13,85378,4083,29,61219,7923,1545584,2026-07-13
416545,F,2026-07-13,2295,7816,21,28043,9543,388500,2026-07-13
787388,M,2026-07-13,31631,28018,66,8113,3250,320958,2026-07-13
437554,F,2026-07-13,59941,27075,32,23543,22596,30304,2026-07-13
50898,M,2026-07-13,20305,3680,36,14154,8973,186516,2026-07-13
922696,F,2026-07-13,50885,2751,5,7392,5994,6990,2026-07-13
349511,M,2026-07-13,5311,9019,56,40244,32116,455168,2026-07-13
71658,F,2026-07-13,57932,42068,5,9152,6602,12750,2026-07-13
873770,F,2026-07-13,86315,19151,47,88576,47194,1944954,2026-07-13
495817,F,2026-07-13,6715,14888,9,82878,75421,67113,2026-07-13
743494,F,2026-07-13,40901,1573,61,72469,46838,1563491,2026-07-13
886972,F,2026-07-13,22821,7835,14,60523,46306,199038,2026-07-13
306188,F,2026-07-13,83884,17789,29,94432,1288,2701176,2026-07-13
729267,F,2026-07-13,30756,11577,58,89402,79323,584582,2026-07-13
477775,M,2026-07-13,53175,45127,5,48645,45478,15835,2026-07-13
382489,F,2026-07-13,40051,27430,41,75317,13900,2518097,2026-07-13
604990,M,2026-07-13,62182,32258,7,28445,20910,52745,2026-07-13
6201,M,2026-07-13,11840,21007,24,70561,44204,632568,2026-07-13
358902,M,2026-07-13,20941,39699,29,92379,87646,137257,2026-07-13
771259,F,2026-07-13,84808,49165,44,66807,8900,2547908,2026-07-13
308991,M,2026-07-13,76265,9961,26,86820,8490,2036580,2026-07-13
668632,F,2026-07-13,40490,33674,13,54508,31188,303160,2026-07-13
708030,F,2026-07-13,52254,17907,11,96421,32521,702900,2026-07-13
703329,M,2026-07-13,40790,5175,25,42187,41120,26675,2026-07-13
170539,M,2026-07-13,71435,23805,30,8248,1479,203070,2026-07-13
361432,F,2026-07-13,45274,37721,66,8275,4248,265782,2026-07-13
168551,M,2026-07-13,57011,10950,38,43730,33196,400292,2026-07-13
729253,M,2026-07-13,7247,19713,13,9464,7909,20215,2026-07-13
21814,F,2026-07-13,32276,9130,62,84227,12674,4436286,2026-07-13
692885,M,2026-07-13,5616,42927,39,173,110,2457,2026-07-13
62374,F,2026-07-13,12796,40950,21,60051,19580,849891,2026-07-13
64998,F,2026-07-13,52652,22298,9,17593,16640,8577,2026-07-13
911976,M,2026-07-13,36324,21470,32,82946,48632,1098048,2026-07-13
561645,M,2026-07-13,49334,28908,25,96716,12957,2093975,2026-07-13
213023,F,2026-07-13,40054,32346,6,53339,13836,237018,2026-07-13
343087,M,2026-07-13,28667,13511,41,93568,73247,833161,2026-07-13
631191,F,2026-07-13,53258,41840,43,97045,84530,538145,2026-07-13
210910,F,2026-07-13,81754,25422,59,37592,6457,1836965,2026-07-13
109027,F,2026-07-13,64441,35665,29,48580,7725,1184795,2026-07-13
561471,M,2026-07-13,26370,28754,26,81859,57427,635232,2026-07-13
259698,M,2026-07-13,52430,15450,38,49943,34398,590710,2026-07-13
281808,M,2026-07-13,12101,34311,10,87448,23923,635250,2026-07-13
466351,F,2026-07-13,71476,33738,43,32315,30532,76669,2026-07-13
